Title,year,Genre,Lead Cast,Director,Positive out of 10 Representation,Focus Area,Box Office Revenue (in M),community,Label
breaking chains,27-03-1982,comedy,noah garcia liam smith,steven miller,6.47,disability,251.41,american,breaking chains _american
legends   fallen,12-01-2014,documentary,sophia garcia noah miller,daniel ford,9.47,lgbtq,483.96,european,legends   fallen _european
echoes  eternity,22-03-1989,scifi,olivia hernandez noah hernandez,daniel ford,6.17,disability,452.85,european,echoes  eternity _european
golden horizon,23-08-1983,scifi,john garcia william garcia,catherine hayes,6.51,race,216.44,Asian,golden horizon _Asian
breaking chains,16-10-1980,documentary,mia hernandez liam hernandez,daniel ford,9.56,gender,328.85,european,breaking chains _european
final hour,19-08-1994,action,olivia jones emma garcia,emily adams,6.09,age,32.57,european,final hour _european
shadows rising,15-10-1987,fantasy,james johnson mia jones,michael carter,5.72,cultural,295.41,american,shadows rising _american
breaking chains,27-07-1996,documentary,john hernandez mia martinez,steven miller,6.36,race,87,american,breaking chains _american
echoes  eternity,28-05-1987,scifi,noah davis olivia garcia,laura scott,6.29,disability,190.3,Asian,echoes  eternity _Asian
echoes  eternity,16-03-1982,action,james davis james miller,michael carter,7.75,cultural,346.37,american,echoes  eternity _american
whispers   wind,11-02-2000,fantasy,olivia martinez emma martinez,emily adams,8.23,lgbtq,370.28,european,whispers   wind _european
secrets   valley,17-02-2004,comedy,liam hernandez john davis,laura scott,7.07,age,382.42,Asian,secrets   valley _Asian
breaking chains,20-05-1988,comedy,william davis james garcia,michael carter,5.7,race,220.8,american,breaking chains _american
legends   fallen,15-06-1983,drama,mia brown emma davis,michael carter,7.64,gender,419.44,american,legends   fallen _american
golden horizon,03-08-1991,scifi,noah hernandez james davis,michael carter,7.69,cultural,146.38,american,golden horizon _american
echoes  eternity,23-09-2001,drama,james johnson sophia williams,steven miller,6.75,disability,104.62,american,echoes  eternity _american
shadows rising,21-06-2006,comedy,sophia davis olivia smith,catherine hayes,9.54,cultural,132.88,Asian,shadows rising _Asian
breaking chains,02-01-1999,drama,liam williams william johnson,steven miller,6.65,cultural,54.16,american,breaking chains _american
legends   fallen,16-07-2008,drama,liam johnson john williams,laura scott,6.88,gender,95.5,Asian,legends   fallen _Asian
secrets   valley,12-01-2007,thriller,olivia smith isabella jones,michael carter,8.22,race,118.08,american,secrets   valley _american
whispers   wind,23-10-1985,fantasy,james smith james jones,steven miller,8.29,lgbtq,342.38,american,whispers   wind _american
legends   fallen,10-09-1995,thriller,isabella miller william smith,catherine hayes,9.31,gender,445.85,Asian,legends   fallen _Asian
final hour,14-12-1980,drama,noah williams noah smith,michael carter,8.6,race,73.03,american,final hour _american
echoes  eternity,17-09-1992,documentary,liam brown liam jones,catherine hayes,7.93,disability,358.51,Asian,echoes  eternity _Asian
lost   stars,28-08-1982,scifi,emma miller isabella davis,steven miller,6.26,age,287.59,american,lost   stars _american
whispers   wind,15-11-2002,comedy,john martinez isabella davis,laura scott,9.25,disability,392.41,Asian,whispers   wind _Asian
secrets   valley,18-04-2022,comedy,john smith william miller,laura scott,5.07,lgbtq,113.2,Asian,secrets   valley _Asian
breaking chains,04-03-2014,thriller,william davis sophia hernandez,michael carter,8.8,age,69.58,american,breaking chains _american
whispers   wind,21-04-2002,comedy,emma brown emma jones,emily adams,8.88,cultural,408.17,european,whispers   wind _european
echoes  eternity,03-09-2014,action,sophia martinez john miller,laura scott,6.86,cultural,101.07,Asian,echoes  eternity _Asian
whispers   wind,15-08-1985,thriller,james brown john johnson,steven miller,5.49,gender,130.84,american,whispers   wind _american
shadows rising,24-03-1993,action,mia brown emma martinez,emily adams,5.78,cultural,254.63,european,shadows rising _european
echoes  eternity,15-04-1982,drama,james williams olivia miller,catherine hayes,9.19,disability,66.37,Asian,echoes  eternity _Asian
legends   fallen,08-11-2010,scifi,sophia martinez liam jones,laura scott,8.48,lgbtq,424.17,Asian,legends   fallen _Asian
breaking chains,03-01-1997,thriller,liam miller mia jones,daniel ford,6.31,race,322.91,european,breaking chains _european
echoes  eternity,20-07-1983,thriller,emma davis william miller,catherine hayes,8.51,age,158.16,Asian,echoes  eternity _Asian
whispers   wind,10-12-2013,thriller,william jones john johnson,steven miller,7.24,age,351.36,american,whispers   wind _american
secrets   valley,24-03-2016,action,noah williams olivia johnson,catherine hayes,7.72,race,344.19,Asian,secrets   valley _Asian
legends   fallen,01-05-2003,scifi,james jones emma smith,steven miller,5.37,lgbtq,246.77,american,legends   fallen _american
shadows rising,17-04-2022,drama,james johnson mia jones,michael carter,6.94,race,258.86,american,shadows rising _american
whispers   wind,26-02-1986,action,noah martinez isabella davis,michael carter,8.78,age,132.21,american,whispers   wind _american
echoes  eternity,07-10-2007,thriller,olivia garcia sophia williams,catherine hayes,5.6,cultural,14.87,Asian,echoes  eternity _Asian
final hour,19-12-1993,drama,emma davis noah garcia,emily adams,6.73,lgbtq,118.56,european,final hour _european
echoes  eternity,28-09-2013,scifi,john hernandez james williams,michael carter,8.47,age,269.1,american,echoes  eternity _american
legends   fallen,18-10-1988,scifi,john davis liam martinez,catherine hayes,6.57,age,126.49,Asian,legends   fallen _Asian
echoes  eternity,11-04-2001,action,olivia johnson liam martinez,daniel ford,8.87,cultural,39.42,european,echoes  eternity _european
lost   stars,21-04-1989,drama,james brown emma hernandez,steven miller,5.69,lgbtq,162.83,american,lost   stars _american
whispers   wind,27-07-2023,thriller,sophia williams sophia smith,emily adams,8.62,lgbtq,433.06,european,whispers   wind _european
shadows rising,04-08-2002,drama,olivia martinez noah williams,michael carter,7.24,disability,204.19,american,shadows rising _american
whispers   wind,04-01-2013,comedy,emma brown olivia garcia,laura scott,9.8,race,224.21,Asian,whispers   wind _Asian
forgotten voyage,17-07-2017,comedy,john hernandez olivia johnson,steven miller,8.55,lgbtq,269.39,american,forgotten voyage _american
final hour,08-07-1998,drama,liam williams john hernandez,laura scott,6.52,cultural,298.96,Asian,final hour _Asian
echoes  eternity,15-05-2019,thriller,olivia brown william williams,laura scott,9.16,disability,409.79,Asian,echoes  eternity _Asian
whispers   wind,17-09-1990,action,liam jones emma miller,catherine hayes,7.69,cultural,417.12,Asian,whispers   wind _Asian
legends   fallen,19-06-1981,drama,james garcia emma garcia,catherine hayes,7.35,gender,51.4,Asian,legends   fallen _Asian
whispers   wind,19-01-2009,fantasy,james johnson liam davis,catherine hayes,8.59,race,423.49,Asian,whispers   wind _Asian
forgotten voyage,20-02-2010,comedy,noah jones emma martinez,laura scott,8.25,gender,126.75,Asian,forgotten voyage _Asian
whispers   wind,07-09-2010,thriller,sophia williams emma hernandez,catherine hayes,7.4,age,438.14,Asian,whispers   wind _Asian
echoes  eternity,07-11-2008,fantasy,james miller william smith,laura scott,6.04,lgbtq,150.14,Asian,echoes  eternity _Asian
shadows rising,27-03-1981,comedy,william martinez liam jones,steven miller,6.26,disability,432.53,american,shadows rising _american
echoes  eternity,19-11-1991,thriller,william brown sophia garcia,catherine hayes,7.68,disability,183.28,Asian,echoes  eternity _Asian
secrets   valley,08-09-2014,scifi,william johnson isabella brown,steven miller,7.19,lgbtq,15.98,american,secrets   valley _american
secrets   valley,10-10-1985,drama,emma miller noah smith,catherine hayes,7.27,gender,413.7,Asian,secrets   valley _Asian
golden horizon,19-04-1987,thriller,emma martinez isabella jones,emily adams,6.01,race,449.46,european,golden horizon _european
lost   stars,21-11-2019,thriller,liam hernandez emma martinez,steven miller,8.39,age,73.47,american,lost   stars _american
whispers   wind,08-02-2016,documentary,olivia jones isabella smith,emily adams,8.28,disability,440.24,european,whispers   wind _european
legends   fallen,13-09-2008,drama,james martinez noah jones,michael carter,8.43,cultural,110.87,american,legends   fallen _american
echoes  eternity,18-07-2011,drama,olivia smith william smith,steven miller,9.52,disability,299.53,american,echoes  eternity _american
echoes  eternity,24-04-1998,comedy,emma hernandez olivia williams,catherine hayes,5.17,lgbtq,135.16,Asian,echoes  eternity _Asian
whispers   wind,05-06-2021,documentary,isabella brown mia garcia,daniel ford,5.79,age,37.01,european,whispers   wind _european
golden horizon,23-01-1992,documentary,emma smith isabella hernandez,michael carter,7.66,lgbtq,202.26,american,golden horizon _american
legends   fallen,22-08-2011,action,john miller isabella miller,steven miller,8.02,disability,478.68,american,legends   fallen _american
secrets   valley,20-04-2005,drama,mia williams emma williams,laura scott,5.93,age,168.34,Asian,secrets   valley _Asian
whispers   wind,09-06-1984,documentary,sophia davis john brown,michael carter,5.85,gender,308.25,american,whispers   wind _american
golden horizon,18-08-1986,drama,emma hernandez emma davis,michael carter,7.54,lgbtq,323.28,american,golden horizon _american
secrets   valley,20-04-2009,documentary,isabella jones noah hernandez,steven miller,6.81,race,26.91,american,secrets   valley _american
secrets   valley,07-05-1990,drama,william garcia olivia brown,laura scott,5.53,cultural,478.68,Asian,secrets   valley _Asian
forgotten voyage,16-12-2015,fantasy,mia brown james jones,michael carter,7.21,gender,181.27,american,forgotten voyage _american
secrets   valley,21-09-2009,action,noah johnson mia jones,laura scott,6.32,cultural,223.01,Asian,secrets   valley _Asian
whispers   wind,18-09-1986,fantasy,liam johnson john davis,michael carter,6.6,disability,195.58,american,whispers   wind _american
secrets   valley,27-06-2022,documentary,john williams sophia miller,laura scott,7.27,disability,278.59,Asian,secrets   valley _Asian
whispers   wind,08-01-2005,drama,sophia garcia sophia garcia,emily adams,7.02,lgbtq,11.76,european,whispers   wind _european
lost   stars,22-05-2000,fantasy,john jones olivia johnson,laura scott,6.4,disability,352.06,Asian,lost   stars _Asian
whispers   wind,14-05-2002,action,isabella jones john miller,laura scott,5.68,race,480.5,Asian,whispers   wind _Asian
secrets   valley,07-11-1984,thriller,isabella smith james johnson,emily adams,5.09,age,270.69,european,secrets   valley _european
legends   fallen,24-04-1997,thriller,john jones olivia brown,steven miller,5.98,disability,234.89,american,legends   fallen _american
breaking chains,11-06-1985,drama,noah jones isabella johnson,steven miller,7.14,disability,380.92,american,breaking chains _american
secrets   valley,20-07-1997,thriller,olivia williams isabella williams,michael carter,5.27,lgbtq,446.31,american,secrets   valley _american
secrets   valley,08-11-2005,thriller,olivia martinez william hernandez,emily adams,9.86,race,32.33,european,secrets   valley _european
echoes  eternity,10-04-2011,documentary,sophia smith sophia williams,daniel ford,8.46,lgbtq,412.31,european,echoes  eternity _european
legends   fallen,16-12-2014,fantasy,emma brown olivia martinez,emily adams,6.15,gender,127.04,european,legends   fallen _european
breaking chains,09-12-2001,fantasy,john jones isabella davis,catherine hayes,6.32,disability,373.15,Asian,breaking chains _Asian
shadows rising,12-02-1980,drama,william davis olivia johnson,daniel ford,9.58,cultural,146,european,shadows rising _european
secrets   valley,19-03-2002,drama,liam martinez mia miller,michael carter,9.28,gender,379.6,american,secrets   valley _american
final hour,03-05-2004,thriller,william miller mia hernandez,emily adams,6.29,lgbtq,127.91,european,final hour _european
shadows rising,07-04-2005,documentary,james hernandez liam smith,catherine hayes,6.51,cultural,44.14,Asian,shadows rising _Asian
shadows rising,02-01-2006,fantasy,john smith olivia davis,emily adams,8.25,cultural,153.03,european,shadows rising _european
breaking chains,05-09-1989,comedy,john jones noah martinez,emily adams,9.34,age,249.73,european,breaking chains _european
echoes  eternity,05-11-2006,action,william miller olivia martinez,daniel ford,5.16,age,195,european,echoes  eternity _european
legends   fallen,01-08-1997,documentary,john brown william davis,laura scott,6.25,age,361.42,Asian,legends   fallen _Asian
golden horizon,14-02-2016,comedy,liam davis william miller,steven miller,5.54,lgbtq,335.07,american,golden horizon _american
whispers   wind,11-07-1997,scifi,liam jones william martinez,steven miller,5.78,gender,50.98,american,whispers   wind _american
golden horizon,15-10-2018,comedy,william hernandez john miller,steven miller,7.07,gender,55.3,american,golden horizon _american
shadows rising,11-06-2006,comedy,noah miller liam davis,catherine hayes,9.88,cultural,103.72,Asian,shadows rising _Asian
legends   fallen,13-06-1980,documentary,james williams james davis,michael carter,9.29,disability,262.83,american,legends   fallen _american
